Class,Identifiers,Address,Type,Initial Value,Comment
VAR,Conveyor_Speed_WR,D108,WORD,,
VAR,HMItoPLC_EMC,D1004.0,BOOL,,
VAR,HMI_Robot_ActionNo,D1010,INT,,HMI Robot動作編號
VAR,HMI_Robot_NoodleCabinetNo,D1011,INT,,HMI麵櫃編號
VAR,HMI_Robot_CutNo,D1012,INT,,HMI麵切編號
VAR,HMI_Robot_OutputCabinetNo,D1013,INT,,HMI出麵櫃編號
VAR,HMItoPLC_StepMask,D1014,INT,,HMI 半自動選取 Step Bit Mask
VAR,PLCtoHMI_EMC,D1108.0,BOOL,,
VAR,Machine_Mode,D1109,WORD,,0=Manual、1=Semi 、10=Single bowl automatic、2=Auto
VAR,SemiAuto_Running,D1110.5,BOOL,,半自動流程執行中
VAR,PLCtoHMI_RobotManualStatus,D1120,INT,,Robot單動狀態
VAR,PLCtoHMI_RobotManualAckIndex,D1121,WORD,,Robot單動命令回覆序號
VAR,PLCtoHMI_RobotManualResultCode,D1122,INT,,Robot單動結果碼
VAR,PLCtoHMI_RobotManualAlarmCode,D1123,INT,,Robot單動異常代碼
VAR,PLCtoHMI_Robot_Idle,D1124.0,BOOL,,
VAR,PLCtoIPC_RequestValid,D1203,WORD,,PLC 任務有效旗標
VAR,IPC_CommStatus,D1209.0,BOOL,,IPC 通訊狀態；0=Offline、1=Online
VAR,IPCtoPLC_Busy,D1302,WORD,,IPC 執行中
VAR,Robot_Manual_ActionNo,D3080,INT,,送給Robot的動作編號
VAR,Robot_Manual_NoodleCabinetNo,D3081,INT,,送給Robot的麵櫃編號
VAR,Robot_Manual_CutNo,D3082,INT,,送給Robot的麵切編號
VAR,Robot_Manual_OutputCabinetNo,D3083,INT,,送給Robot的出麵櫃編號
VAR,Robot_Manual_NoodleTypeNo,D3084,INT,,送給Robot的麵種編號，固定為1
VAR,Robot_Manual_Step,D3090,INT,,Robot單動流程步驟
VAR,Robot_Manual_ParameterOK,D3091.0,BOOL,,Robot單動參數檢查結果
VAR,Robot_Exchange_Finish,D3091.1,BOOL,,Robot交換流程完成
VAR,Robot_Manual_StartReq,D3091.2,BOOL,,Robot單動啟動要求
VAR,Robot_Manual_Permit,D3091.3,BOOL,,Robot手動操作允許
VAR,Robot_Exchange_AlarmCode,D3092,INT,,Robot交換FB異常代碼
VAR,Robot_Manual_CommandIndex,D3093,WORD,,Robot單動命令序號
VAR,IPC_FirstMaterialPending,,BOOL,,
VAR,Bowl_Dispenser_Cmd_Run,,BOOL,,
VAR,IPC_CommandTrigger,,BOOL,,發送任務觸發訊號
VAR,IPC_PreCaptureThenFirst,,BOOL,,
VAR,IPC_CommandRecipeNo,,WORD,,準備發送的配方
VAR,ALM_Rst,,BOOL,,
VAR,Bowl_Dispenser_Busy,,BOOL,,
VAR,Bowl_Dispenser_Cmd_HMItoPLC,,BOOL,,
VAR,Conveyor_Initialize,,BOOL,,
VAR,Conveyor_Initialize_Done,,BOOL,,
VAR,NoodleBasket_1,,DUT_NoodleBasket,,
